Epoch [1/100], Train Loss: 0.7067, Train Accuracy: 0.5047, Validation Loss: 0.6920, Validation Accuracy: 0.5353
Epoch [2/100], Train Loss: 0.6919, Train Accuracy: 0.5343, Validation Loss: 0.6918, Validation Accuracy: 0.5353
Epoch [3/100], Train Loss: 0.6951, Train Accuracy: 0.5343, Validation Loss: 0.6939, Validation Accuracy: 0.5353
Epoch [4/100], Train Loss: 0.6911, Train Accuracy: 0.5343, Validation Loss: 0.6913, Validation Accuracy: 0.5353
Epoch [5/100], Train Loss: 0.6924, Train Accuracy: 0.5389, Validation Loss: 0.6949, Validation Accuracy: 0.4647
Epoch [6/100], Train Loss: 0.6963, Train Accuracy: 0.4657, Validation Loss: 0.6973, Validation Accuracy: 0.4647
Epoch [7/100], Train Loss: 0.6996, Train Accuracy: 0.4657, Validation Loss: 0.6970, Validation Accuracy: 0.4647
Epoch [8/100], Train Loss: 0.6955, Train Accuracy: 0.4626, Validation Loss: 0.6931, Validation Accuracy: 0.4882
Epoch [9/100], Train Loss: 0.6932, Train Accuracy: 0.4704, Validation Loss: 0.6932, Validation Accuracy: 0.4647
Epoch [10/100], Train Loss: 0.6932, Train Accuracy: 0.4782, Validation Loss: 0.6930, Validation Accuracy: 0.5353
Epoch [11/100], Train Loss: 0.6931, Train Accuracy: 0.4891, Validation Loss: 0.6932, Validation Accuracy: 0.4647
Epoch [12/100], Train Loss: 0.6932, Train Accuracy: 0.4720, Validation Loss: 0.6932, Validation Accuracy: 0.4647
Epoch [13/100], Train Loss: 0.6933, Train Accuracy: 0.4657, Validation Loss: 0.6934, Validation Accuracy: 0.4647
Epoch [14/100], Train Loss: 0.6933, Train Accuracy: 0.4657, Validation Loss: 0.6932, Validation Accuracy: 0.4647
Epoch [15/100], Train Loss: 0.6929, Train Accuracy: 0.5374, Validation Loss: 0.6926, Validation Accuracy: 0.5353
Epoch [16/100], Train Loss: 0.6924, Train Accuracy: 0.5343, Validation Loss: 0.6926, Validation Accuracy: 0.5353
Epoch [17/100], Train Loss: 0.6922, Train Accuracy: 0.5343, Validation Loss: 0.6924, Validation Accuracy: 0.5353
Epoch [18/100], Train Loss: 0.6922, Train Accuracy: 0.5343, Validation Loss: 0.6925, Validation Accuracy: 0.5353
Epoch [19/100], Train Loss: 0.6912, Train Accuracy: 0.5343, Validation Loss: 0.6914, Validation Accuracy: 0.5353
Epoch [20/100], Train Loss: 0.6881, Train Accuracy: 0.5343, Validation Loss: 0.6900, Validation Accuracy: 0.5353
Epoch [21/100], Train Loss: 0.6832, Train Accuracy: 0.5358, Validation Loss: 0.6915, Validation Accuracy: 0.5353
Epoch [22/100], Train Loss: 0.6909, Train Accuracy: 0.5343, Validation Loss: 0.6882, Validation Accuracy: 0.5353
Epoch [23/100], Train Loss: 0.6880, Train Accuracy: 0.5872, Validation Loss: 0.6919, Validation Accuracy: 0.5176
Epoch [24/100], Train Loss: 0.6906, Train Accuracy: 0.5514, Validation Loss: 0.6918, Validation Accuracy: 0.5353
Epoch [25/100], Train Loss: 0.6904, Train Accuracy: 0.5343, Validation Loss: 0.6913, Validation Accuracy: 0.5353
Epoch [26/100], Train Loss: 0.6890, Train Accuracy: 0.5343, Validation Loss: 0.6902, Validation Accuracy: 0.5353
Epoch [27/100], Train Loss: 0.6876, Train Accuracy: 0.5343, Validation Loss: 0.6891, Validation Accuracy: 0.5353
Epoch [28/100], Train Loss: 0.6830, Train Accuracy: 0.5343, Validation Loss: 0.6867, Validation Accuracy: 0.5471
Epoch [29/100], Train Loss: 0.6831, Train Accuracy: 0.5436, Validation Loss: 0.7075, Validation Accuracy: 0.5353
Epoch [30/100], Train Loss: 0.6915, Train Accuracy: 0.5343, Validation Loss: 0.6843, Validation Accuracy: 0.5235
Epoch [31/100], Train Loss: 0.6860, Train Accuracy: 0.5280, Validation Loss: 0.6945, Validation Accuracy: 0.4647
Epoch [32/100], Train Loss: 0.6852, Train Accuracy: 0.5732, Validation Loss: 0.6886, Validation Accuracy: 0.5294
Epoch [33/100], Train Loss: 0.6827, Train Accuracy: 0.5654, Validation Loss: 0.6884, Validation Accuracy: 0.5353
Epoch [34/100], Train Loss: 0.6816, Train Accuracy: 0.5343, Validation Loss: 0.6874, Validation Accuracy: 0.5353
Epoch [35/100], Train Loss: 0.6765, Train Accuracy: 0.5997, Validation Loss: 0.6882, Validation Accuracy: 0.5706
Epoch [36/100], Train Loss: 0.6813, Train Accuracy: 0.5374, Validation Loss: 0.6841, Validation Accuracy: 0.5529
